filename,Max_Metal_Charge
DB5-hypotheticalMOF_5016106_1_0_0_3_3_1_repeat,1.381875
DB0-m2_o2_o15_f0_pcu,0.886492
DB1-Cu2O8N2-ADC_A-irmof8_A_No520_repeat,0.98719
DB0-m2_o14_o16_f0_pcu,0.898285
DB6-cuf_6318_repeat,0.946657
DB0-m2_o1_o12_f0_pcu,0.811022
DB0-m3_o150_o23_f0_fsc,1.062275
DB0-m3_o43_o21_f0_fsc,1.085817
DB0-m29_o93_o102_f0_pts,1.392014
DB0-m29_o80_o113_f0_pts,1.444336
DB5-hypotheticalMOF_5010578_0_0_0_8_16_4_repeat,1.271265
DB0-m3_o450_o6_f0_fsc,1.031586
DB12-CAVREY_freeONLY_repeat,1.038288
DB0-m3_o26_o27_f0_pcu,1.032723
DB0-m3_o19_o24_f0_nbo,1.304468
DB0-m3_o11_o14_f0_nbo,1.30867
DB0-m3_o6_o14_f0_pcu,1.037279
DB0-m2_o12_o18_f0_pcu,0.913617
DB0-m2_o21_o23_f0_pcu,1.291575
DB0-m9_o12_o14_f0_sra,1.495231
DB0-m9_o2_o6_f0_sra,1.382454
DB0-m9_o11_o13_f0_sra,1.220846
DB0-m2_o6_o12_f0_pcu,0.949738
DB0-m2_o14_o18_f0_pcu,0.892883
DB0-m3_o16_o146_f0_fsc,1.036529
DB12-TORJIV_clean_repeat,1.85121
DB6-cuf_1131_repeat,0.992379
DB1-Cu2O8-mof177-mofHTB_No249_repeat,1.154881
DB0-m2_o12_o16_f0_pcu,0.915715
DB0-m29_o99_o52_f0_pts,1.448028
DB7-ddmof_18789_repeat,1.345709
DB13-cds-Syn022293_repeat,1.050377
DB0-m2_o1_o14_f0_pcu,0.849619
DB0-m3_o26_o29_f0_pcu,1.057272
DB0-m2_o8_o9_f0_pcu,0.90493
DB0-m2_o7_o12_f0_pcu,0.93634
DB0-m2_o25_o25_f0_nbo,1.057116
DB0-m2_o11_o11_f0_pcu,1.001706
DB0-m2_o18_o18_f0_pcu,0.86313
DB0-m29_o80_o108_f0_pts,1.497654
DB0-m2_o17_o26_f0_pcu,0.895106
DB1-Cu2N8-irmof20_B-irmof6_B_No36_repeat,0.88816
DB0-m2_o5_o9_f0_nbo,0.989046
DB0-m3_o1_o22_f0_nbo,1.300693
DB1-Zn2O8-irmof10_A-irmof20_A_No205_repeat,1.243937
DB0-m3_o16_o46_f0_fsc,1.046987
DB0-m3_o49_o21_f0_fsc,1.062547
DB0-m2_o13_o24_f0_pcu,0.899271
DB0-m3_o4_o21_f0_pcu,1.034687
DB5-hypotheticalMOF_5073028_3_2_2_19_18_10_repeat,0.900792
DB1-Zn2O8N2-irmof14_A-irmof8_A_No18_repeat,1.044948
DB1-Cu2N8-irmof10_B-irmof20_B_No223_repeat,0.979132
DB0-m3_o510_o14_f0_fsc,1.026277
DB0-m2_o8_o15_f0_pcu,1.010878
DB0-m3_o1500_o158_f0_fsc,1.058971
DB0-m29_o80_o44_f0_pts,1.451529
DB12-USOXEH_clean_repeat,0.741488
DB1-Cu2O8N2-AZO_A-irmof8_A_No78_repeat,1.023688
DB1-Zn2O8-DABCO_A-irmof14_A_No2_repeat,1.320077
DB5-hypotheticalMOF_5008719_3_2_0_15_18_2_repeat,1.26128
DB0-m2_o6_o25_f0_pcu,0.935615
DB0-m2_o4_o6_f0_nbo,1.014034
DB0-m9_o1_o20_f0_sra,1.363825
DB0-m2_o6_o20_f0_nbo,1.015522
DB0-m3_o43_o156_f0_fsc,1.06529
DB0-m29_o90_o90_f0_pts,1.433604
DB0-m2_o5_o7_f0_nbo,0.905346
